,Name,Score
1,毒液：致命守护者,9.4
2,悲伤逆流成河,9.1
3,昨日青空,8.6
4,你好，之华,8.0
5,名侦探柯南：零的执行人,8.5
6,无双,8.9
7,冰封侠:时空行者,4.0
8,铁血战士,7.6
9,找到你,9.0
10,神奇动物：格林德沃之罪,7.8
11,影,8.2
12,嗝嗝老师,9.4
13,胡桃夹子和四个王国,7.9
14,李茶的姑妈,7.9
15,为你写诗,7.8
16,恐龙王,8.9
17,滴答屋,7.6
18,三国杀·幻,6.8
19,宝贝儿,5.5
20,功夫联盟,7.2
21,流浪猫鲍勃,9.0
22,开学悸,5.3
23,两个俏公主,7.3
24,雪怪大冒险,9.3
25,江湖儿女,7.7
26,无敌破坏王,9.0
27,阿拉姜色,8.8
28,我的冤家是条狗,8.6
29,飓风奇劫,8.4
30,我的间谍前男友,8.2
31,追鹰日记,9.2
32,阿凡提之奇缘历险,8.4
33,帝企鹅日记2：召唤,8.6
34,大闹西游,8.2
35,心迷宫,8.2
36,隐形同盟,7.4
37,钢琴家,8.8
38,西部,7.2
39,夜与日,7.0
40,沃伦,7.7
41,大理石人,7.9
42,浴血华沙,7.0
43,灰烬与钻石,7.9
44,福地,8.0
